topology,amplitude,sample,hidden_node,reference_node,horizon_steps,tau,target_weight_c_tau,MC_tau,weighted_contribution,Q_tw_memory,basis_nmse_cv_2d,basis_nmse_cv_2d_std,actual_test_nmse_2d
topology_17_prestress,amp=1,sample_0,10,0,5,0,3.1658566572447295,0.9999993710201552,3.1658546659847007,3.1658546659847007,0.5046859498495031,0.12802456628649284,0.1876888203671371
topology_17_prestress,amp=1,sample_0,10,0,5,1,3.734181902650038,0.9776402068447169,3.650686367702581,6.816541033687281,0.5046859498495031,0.12802456628649284,0.1876888203671371
topology_17_prestress,amp=1,sample_0,10,0,5,2,1.2712753101708434,0.9290609669706028,1.1810922689531769,7.997633302640458,0.5046859498495031,0.12802456628649284,0.1876888203671371
topology_17_prestress,amp=1,sample_0,10,0,5,3,0.09025494918674828,0.871529491205417,0.07865984994349749,8.076293152583956,0.5046859498495031,0.12802456628649284,0.1876888203671371
topology_17_prestress,amp=1,sample_0,10,0,5,4,0.6667174157777525,0.8201832037725613,0.5468304260835598,8.623123578667515,0.5046859498495031,0.12802456628649284,0.1876888203671371
topology_17_prestress,amp=1,sample_0,10,0,5,5,0.4090593631320532,0.7732662596457294,0.316311803702187,8.939435382369702,0.5046859498495031,0.12802456628649284,0.1876888203671371
topology_17_prestress,amp=1,sample_1,10,0,5,0,3.2618758846941667,0.9999992271881635,3.2618733638778736,3.2618733638778736,0.5150720110023618,0.12786515709575666,1.4651494352730812
topology_17_prestress,amp=1,sample_1,10,0,5,1,4.134925624920569,0.9451290054094413,3.9080381433231897,7.169911507201063,0.5150720110023618,0.12786515709575666,1.4651494352730812
topology_17_prestress,amp=1,sample_1,10,0,5,2,1.6099732456172915,0.31171873122159033,0.5018588174245279,7.671770324625591,0.5150720110023618,0.12786515709575666,1.4651494352730812
topology_17_prestress,amp=1,sample_1,10,0,5,3,0.19060095232624635,0.0,0.0,7.671770324625591,0.5150720110023618,0.12786515709575666,1.4651494352730812
topology_17_prestress,amp=1,sample_1,10,0,5,4,0.8118210162126526,0.0,0.0,7.671770324625591,0.5150720110023618,0.12786515709575666,1.4651494352730812
topology_17_prestress,amp=1,sample_1,10,0,5,5,0.46019967755701724,0.0,0.0,7.671770324625591,0.5150720110023618,0.12786515709575666,1.4651494352730812
topology_17_prestress,amp=1,sample_2,10,0,5,0,3.2312320557019016,0.9999992158599524,3.231229521963444,3.231229521963444,0.512208092827926,0.1288564962637025,0.1942120055199125
topology_17_prestress,amp=1,sample_2,10,0,5,1,4.1328044889507245,0.9775880729301002,4.040180376150206,7.27140989811365,0.512208092827926,0.1288564962637025,0.1942120055199125
topology_17_prestress,amp=1,sample_2,10,0,5,2,1.5950015007025597,0.932207146093838,1.486871796985322,8.758281695098972,0.512208092827926,0.1288564962637025,0.1942120055199125
topology_17_prestress,amp=1,sample_2,10,0,5,3,0.1769234546481225,0.8839413824599258,0.1563899630912474,8.914671658190219,0.512208092827926,0.1288564962637025,0.1942120055199125
topology_17_prestress,amp=1,sample_2,10,0,5,4,0.8342762718030361,0.8397546570570399,0.7005873845187843,9.615259042709003,0.512208092827926,0.1288564962637025,0.1942120055199125
topology_17_prestress,amp=1,sample_2,10,0,5,5,0.48522405961130305,0.7937229071595457,0.38513345121844017,10.000392493927443,0.512208092827926,0.1288564962637025,0.1942120055199125
topology_17_prestress,amp=1,sample_3,10,0,5,0,3.1487257786574205,0.9999994534920907,3.148724057853878,3.148724057853878,0.5178716425213068,0.13092003055846918,0.20666236889230463
topology_17_prestress,amp=1,sample_3,10,0,5,1,3.924290170305992,0.9775456748998205,3.8361728830345023,6.9848969408883805,0.5178716425213068,0.13092003055846918,0.20666236889230463
topology_17_prestress,amp=1,sample_3,10,0,5,2,1.371688540652582,0.9306189938731169,1.27651940960939,8.26141635049777,0.5178716425213068,0.13092003055846918,0.20666236889230463
topology_17_prestress,amp=1,sample_3,10,0,5,3,0.07920737517412031,0.8807147599175484,0.06975910441017456,8.331175454907944,0.5178716425213068,0.13092003055846918,0.20666236889230463
topology_17_prestress,amp=1,sample_3,10,0,5,4,0.6675039877969893,0.8390096854060748,0.5600423108088524,8.891217765716796,0.5178716425213068,0.13092003055846918,0.20666236889230463
topology_17_prestress,amp=1,sample_3,10,0,5,5,0.4449698665333377,0.8017242727418411,0.3567431426384743,9.247960908355271,0.5178716425213068,0.13092003055846918,0.20666236889230463
topology_17_prestress,amp=1,sample_4,10,0,5,0,3.215346779763992,0.9999992711588989,3.215344436287104,3.215344436287104,0.5151542803251772,0.12790103916344633,0.17647432050294895
topology_17_prestress,amp=1,sample_4,10,0,5,1,4.102372167597606,0.9789583577750686,4.016051520173501,7.231395956460605,0.5151542803251772,0.12790103916344633,0.17647432050294895
topology_17_prestress,amp=1,sample_4,10,0,5,2,1.5363879392435642,0.9337878896649157,1.4346604514928765,8.666056407953482,0.5151542803251772,0.12790103916344633,0.17647432050294895
topology_17_prestress,amp=1,sample_4,10,0,5,3,0.13971656106482222,0.885352618180294,0.12369842314188728,8.789754831095369,0.5151542803251772,0.12790103916344633,0.17647432050294895
topology_17_prestress,amp=1,sample_4,10,0,5,4,0.7618755526509435,0.8449892218715869,0.643776630397506,9.433531461492874,0.5151542803251772,0.12790103916344633,0.17647432050294895
topology_17_prestress,amp=1,sample_4,10,0,5,5,0.4665620119950024,0.8015683012938267,0.3739813194030641,9.807512780895939,0.5151542803251772,0.12790103916344633,0.17647432050294895
