topology,amplitude,sample,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,exponents,coefficient_x,coefficient_y,p_alpha_norm_sq,c_alpha_x,c_alpha_y,c_alpha
topology_17_prestress,amp=1,sample_0,0,P1(u[target-7]),1,2,7,0 0 1,114.95901489257812,-14.637453079223633,296.48870849609375,0.8774555059636253,0.09303442827489733,0.7734200235166996
topology_17_prestress,amp=1,sample_0,1,P1(u[target-6]),1,1,6,0 1 0,-241.87452697753906,-7.14039421081543,296.313720703125,3.8820659214509536,0.02212588460931077,3.370133318706213
topology_17_prestress,amp=1,sample_0,2,P1(u[target-5]),1,0,5,1 0 0,228.0023193359375,10.459735870361328,296.03717041015625,3.446320411041724,0.047434265826894195,2.995536042853299
topology_17_prestress,amp=1,sample_1,0,P1(u[target-7]),1,2,7,0 0 1,115.66800689697266,-14.989276885986328,299.94305419921875,0.8944011920506562,0.097000477373309,0.7874841849678863
topology_17_prestress,amp=1,sample_1,1,P1(u[target-6]),1,1,6,0 1 0,-241.8916473388672,-6.178572654724121,299.7359924316406,3.908838221129135,0.016469822182970995,3.3869420502092633
topology_17_prestress,amp=1,sample_1,2,P1(u[target-5]),1,0,5,1 0 0,226.59921264648438,9.853737831115723,299.390625,3.4262736432794108,0.04184214126614515,2.972482619254158
topology_17_prestress,amp=1,sample_2,0,P1(u[target-7]),1,2,7,0 0 1,117.67221069335938,-16.76323127746582,301.33245849609375,0.9268288224957107,0.12080577062460046,0.818240511863248
topology_17_prestress,amp=1,sample_2,1,P1(u[target-6]),1,1,6,0 1 0,-244.60560607910156,-3.2523372173309326,301.0870361328125,4.001572227394887,0.004543698290651061,3.4630881548641783
topology_17_prestress,amp=1,sample_2,2,P1(u[target-5]),1,0,5,1 0 0,226.95477294921875,8.874072074890137,300.7160949707031,3.44065482401707,0.033785384661156055,2.981677632103976
topology_17_prestress,amp=1,sample_3,0,P1(u[target-7]),1,2,7,0 0 1,121.03816223144531,-19.54547882080078,296.3307800292969,0.955289205870476,0.1581816617705822,0.8468391031279066
topology_17_prestress,amp=1,sample_3,1,P1(u[target-6]),1,1,6,0 1 0,-250.14959716796875,0.9249285459518433,296.0458068847656,4.076354958567743,0.00035388489172886653,3.521796494667932
topology_17_prestress,amp=1,sample_3,2,P1(u[target-5]),1,0,5,1 0 0,230.03155517578125,7.31976318359375,295.68426513671875,3.442837379947464,0.022136503093707557,2.977435484943072
topology_17_prestress,amp=1,sample_4,0,P1(u[target-7]),1,2,7,0 0 1,119.05699157714844,-18.4628963470459,297.9273681640625,0.9325651135511852,0.14320954728881582,0.8256877285895925
topology_17_prestress,amp=1,sample_4,1,P1(u[target-6]),1,1,6,0 1 0,-247.2067108154297,-0.03077298030257225,297.6021423339844,4.016201756431897,3.9740843392110417e-07,3.472415005469847
topology_17_prestress,amp=1,sample_4,2,P1(u[target-5]),1,0,5,1 0 0,228.7853240966797,7.261190414428711,297.2767333984375,3.4361823353744545,0.02210235143884608,2.973921782173425
