topology,amplitude,sample,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,exponents,num_state_nodes,num_state_features,train_r2_raw,test_r2_raw,train_nmse,test_nmse,IPC_alpha_raw,IPC_alpha_clipped
topology_10_prestress,amp=2.5,sample_0,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,14,28,0.8786646332197842,0.902841060052143,0.12133536678021585,0.09715893994785695,0.902841060052143,0.902841060052143
topology_10_prestress,amp=2.5,sample_0,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,14,28,0.9610910358094275,0.9659754836142307,0.03890896419057255,0.034024516385769275,0.9659754836142307,0.9659754836142307
topology_10_prestress,amp=2.5,sample_0,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,14,28,0.9999951812105259,0.9999906081983839,4.818789474133101e-06,9.391801616036358e-06,0.9999906081983839,0.9999906081983839
topology_10_prestress,amp=2.5,sample_1,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,14,28,0.8789892063007857,0.9301048279466758,0.12101079369921428,0.06989517205332414,0.9301048279466758,0.9301048279466758
topology_10_prestress,amp=2.5,sample_1,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,14,28,0.9606918896113561,0.9779584748777332,0.039308110388643895,0.022041525122266765,0.9779584748777332,0.9779584748777332
topology_10_prestress,amp=2.5,sample_1,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,14,28,0.9999964627334154,0.9999974886521369,3.5372665846940515e-06,2.5113478631045244e-06,0.9999974886521369,0.9999974886521369
topology_10_prestress,amp=2.5,sample_2,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,14,28,0.8772266351901591,0.9243115703181041,0.12277336480984088,0.07568842968189589,0.9243115703181041,0.9243115703181041
topology_10_prestress,amp=2.5,sample_2,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,14,28,0.9595560158576024,0.9747435286065421,0.04044398414239761,0.025256471393457863,0.9747435286065421,0.9747435286065421
topology_10_prestress,amp=2.5,sample_2,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,14,28,0.9999941225517295,0.9999913396049458,5.877448270564833e-06,8.660395054215285e-06,0.9999913396049458,0.9999913396049458
topology_10_prestress,amp=2.5,sample_3,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,14,28,0.8737683979483934,0.9163040803709179,0.1262316020516066,0.08369591962908204,0.9163040803709179,0.9163040803709179
topology_10_prestress,amp=2.5,sample_3,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,14,28,0.9587529024106326,0.9675740129358732,0.04124709758936737,0.03242598706412682,0.9675740129358732,0.9675740129358732
topology_10_prestress,amp=2.5,sample_3,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,14,28,0.9999991192849116,0.9998694119720929,8.807150883597115e-07,0.00013058802790714443,0.9998694119720929,0.9998694119720929
topology_10_prestress,amp=2.5,sample_4,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,14,28,0.8766282887291801,0.9275595812672748,0.1233717112708199,0.07244041873272522,0.9275595812672748,0.9275595812672748
topology_10_prestress,amp=2.5,sample_4,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,14,28,0.9608717539700766,0.974449992256457,0.03912824602992336,0.025550007743543008,0.974449992256457,0.974449992256457
topology_10_prestress,amp=2.5,sample_4,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,14,28,0.999997804704412,0.9999964059330969,2.195295587954666e-06,3.594066903067487e-06,0.9999964059330969,0.9999964059330969
topology_17_prestress,amp=1,sample_0,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,14,28,0.8708291528024283,0.9290609690854283,0.1291708471975717,0.07093903091457168,0.9290609690854283,0.9290609690854283
topology_17_prestress,amp=1,sample_0,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,14,28,0.9544014592947606,0.9776402077093712,0.04559854070523942,0.02235979229062881,0.9776402077093712,0.9776402077093712
topology_17_prestress,amp=1,sample_0,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,14,28,0.9999990769824932,0.999999371019175,9.230175067972187e-07,6.289808249472888e-07,0.999999371019175,0.999999371019175
topology_17_prestress,amp=1,sample_1,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,14,28,0.8699637379727911,0.31171856198304415,0.1300362620272089,0.6882814380169558,0.31171856198304415,0.31171856198304415
topology_17_prestress,amp=1,sample_1,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,14,28,0.9540934768179885,0.9451290048684896,0.045906523182011494,0.0548709951315104,0.9451290048684896,0.9451290048684896
topology_17_prestress,amp=1,sample_1,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,14,28,0.9999993302424599,0.9999992272553135,6.697575401362663e-07,7.727446864238432e-07,0.9999992272553135,0.9999992272553135
topology_17_prestress,amp=1,sample_2,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,14,28,0.8668396734723691,0.9322071453274682,0.13316032652763093,0.06779285467253182,0.9322071453274682,0.9322071453274682
topology_17_prestress,amp=1,sample_2,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,14,28,0.9541831010776676,0.9775880708783566,0.045816898922332386,0.022411929121643394,0.9775880708783566,0.9775880708783566
topology_17_prestress,amp=1,sample_2,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,14,28,0.9999992887787572,0.9999992158604071,7.11221242759006e-07,7.841395929426749e-07,0.9999992158604071,0.9999992158604071
topology_17_prestress,amp=1,sample_3,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,14,28,0.8673036590225981,0.9306189929050627,0.1326963409774019,0.06938100709493733,0.9306189929050627,0.9306189929050627
topology_17_prestress,amp=1,sample_3,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,14,28,0.9533575303408924,0.977545673773417,0.04664246965910755,0.02245432622658302,0.977545673773417,0.977545673773417
topology_17_prestress,amp=1,sample_3,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,14,28,0.9999992936279368,0.9999994534889605,7.063720631337084e-07,5.46511039493244e-07,0.9999994534889605,0.9999994534889605
topology_17_prestress,amp=1,sample_4,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,14,28,0.8684265495899215,0.9337878873974299,0.13157345041007856,0.06621211260257015,0.9337878873974299,0.9337878873974299
topology_17_prestress,amp=1,sample_4,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,14,28,0.9539351233534269,0.9789583592184438,0.046064876646573064,0.021041640781556258,0.9789583592184438,0.9789583592184438
topology_17_prestress,amp=1,sample_4,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,14,28,0.999999316493467,0.9999992711574411,6.835065329993e-07,7.288425588631892e-07,0.9999992711574411,0.9999992711574411
